Temp,Humd,Label
30.0,87.9,0
26.8,52.0,1
26.3,24.9,0
30.0,89.0,1
26.1,23.7,0
26.5,24.8,0
30.6,48.0,1
26.4,84.8,0
26.0,88.0,1
26.6,24.3,0
26.7,84.0,1
26.3,25.0,0
27.4,68.1,0
26.5,37.0,1
26.1,71.0,1
27.5,30.0,1
27.1,91.0,1
28.2,76.0,1
24.0,27.9,0
29.4,87.3,0
25.8,32.0,1
23.9,27.8,0
28.3,21.2,0
26.4,86.2,0
29.9,53.4,0
27.8,91.0,1
28.5,38.3,0
29.4,30.0,1
29.5,93.0,1
26.3,52.0,1
25.7,33.0,1
29.7,38.0,1
26.5,40.0,1
26.5,84.8,0
26.3,34.0,1
26.1,28.8,0
26.2,25.2,0
26.5,85.9,0
27.2,30.0,1
28.4,63.0,1
30.0,53.8,0
24.5,35.1,0
30.1,93.0,1
26.6,74.0,1
31.0,93.0,1
26.1,89.0,1
25.2,29.2,0
25.0,73.2,0
25.3,29.2,0
27.8,32.0,1
30.5,86.0,1
25.7,85.9,0
25.8,24.6,0
24.8,51.4,0
27.4,39.6,0
26.3,60.0,1
25.6,27.0,0
25.5,32.0,1
25.2,27.1,0
26.4,85.9,0
28.5,22.3,0
30.4,87.5,0
29.2,27.0,1
25.0,73.6,0
28.0,92.0,1
24.7,46.9,0
25.4,29.6,0
26.9,76.0,1
25.4,60.1,0
25.5,76.7,0
28.1,92.0,1
27.0,29.0,1
25.5,27.6,0
29.1,92.0,1
29.4,87.4,0
30.2,93.0,1
25.8,26.8,0
25.3,51.2,0
25.0,51.7,0
25.7,26.5,0
28.2,88.6,0
26.7,32.0,1
27.6,30.0,1
24.8,28.6,0
25.2,43.5,0
26.5,86.1,0
27.2,33.0,1
27.8,30.0,1
30.2,88.0,0
28.9,88.2,0
25.8,33.0,1
26.7,27.5,0
25.2,68.5,0
29.9,47.3,0
29.4,26.0,1
26.7,38.0,1
25.1,65.9,0
27.5,31.0,1
30.9,93.0,1
26.1,33.0,1
27.9,30.0,1
26.7,34.0,1
26.8,61.0,1
28.6,92.0,1
25.3,38.3,0
25.3,70.7,0
28.0,88.8,0
26.6,85.9,0
29.1,30.0,1
25.8,28.4,0
29.5,88.3,0
26.0,60.3,0
27.1,86.4,0
26.4,62.0,1
26.5,65.0,1
26.0,55.4,0
26.0,32.0,1
27.4,35.2,0
26.4,69.0,1
31.3,86.9,0
29.7,88.5,0
26.7,82.0,1
29.8,93.0,1
25.6,27.2,0
27.6,24.5,0
29.0,84.3,0
24.6,52.1,0
25.1,55.6,0
27.1,24.3,0
27.6,29.0,1
24.0,26.4,0
24.6,40.0,0
25.0,33.0,1
27.1,25.0,0
27.9,31.0,1
28.1,73.0,1
24.3,51.6,0
27.6,38.4,0
26.4,56.0,1
